carat,cut,color,clarity,depth,table,x,y,z,price_predicted
1.44,Good,G,I1,63.2,54.8,7.18,7.21,4.54,5614.71
0.7,Fair,I,SI1,65.2,58.0,5.6,5.56,3.64,803.57
0.52,Ideal,E,VS2,61.4,54.0,5.2,5.23,3.2,2228.83
0.73,Very Good,G,VVS1,62.9,59.0,5.7,5.78,3.61,4198.93
1.23,Premium,H,VS1,61.1,58.0,6.91,6.86,4.21,7846.31
1.02,Premium,H,VS2,61.9,57.0,6.5,6.4,3.99,5566.5
1.0,Ideal,E,SI1,61.6,55.0,6.45,6.43,3.97,5703.17
0.7,Very Good,D,SI1,61.1,58.0,5.66,5.73,3.48,3189.95
1.5,Very Good,E,SI2,62.8,57.0,7.17,7.23,4.52,9388.77
2.0,Very Good,J,VVS2,63.0,59.0,7.97,8.0,5.03,14208.34
0.3,Very Good,G,VS2,63.1,56.0,4.28,4.25,2.69,149.84
0.26,Premium,E,VVS2,58.9,61.0,4.19,4.16,2.46,942.99
0.58,Premium,E,SI1,62.7,58.0,5.33,5.32,3.34,1904.17
0.4,Very Good,F,VS1,60.4,61.0,4.74,4.77,2.87,1369.01
0.26,Ideal,D,VS1,62.0,55.0,4.12,4.1,2.55,868.41
1.0,Fair,H,SI2,65.1,58.0,6.27,6.15,4.05,3033.09
0.52,Fair,F,VS1,57.2,59.0,5.35,5.39,3.07,1653.49
1.02,Premium,D,SI2,59.7,60.0,6.58,6.55,3.92,4964.26
1.7,Good,I,SI1,59.3,58.0,7.72,7.77,4.59,10833.96
1.01,Premium,H,SI2,61.6,61.0,6.39,6.31,3.91,3920.97
0.55,Ideal,E,VS2,61.8,57.0,5.34,5.27,3.28,2318.56
1.04,Good,F,VS1,63.2,57.0,6.41,6.44,4.06,6616.64
1.02,Premium,D,VS2,62.9,60.0,6.42,6.37,4.02,6479.09
0.3,Ideal,F,SI1,62.3,54.0,4.3,4.27,2.67,-47.68
0.97,Ideal,F,I1,60.7,56.0,6.43,6.41,3.9,1701.23
0.31,Ideal,E,VS2,62.0,55.0,4.35,4.33,2.69,678.62
0.81,Ideal,H,VS1,61.8,58.0,5.97,6.04,3.71,4110.42
1.02,Premium,D,SI1,62.3,59.0,6.42,6.38,3.99,5942.5
0.3,Premium,I,VVS1,61.1,59.0,4.31,4.33,2.64,-34.56
0.4,Very Good,E,VS1,62.8,59.0,4.63,4.67,2.92,1442.15
0.71,Very Good,F,VVS1,63.2,60.0,5.65,5.61,3.56,4189.33
0.7,Premium,G,SI1,61.5,58.0,5.69,5.76,3.52,2686.45
0.23,Ideal,E,SI2,61.5,55.0,3.95,3.98,2.43,-1339.21
1.09,Ideal,G,VS1,62.3,55.0,6.59,6.63,4.12,7158.83
0.3,Ideal,E,VVS2,61.0,56.0,4.33,4.39,2.66,1309.57
0.35,Premium,E,VS2,59.5,58.0,4.59,4.62,2.74,896.26
1.13,Ideal,F,VS2,62.1,56.0,6.65,6.71,4.15,7436.04
0.31,Ideal,G,VVS1,61.5,54.0,4.36,4.39,2.69,1189.65
1.33,Ideal,I,VS2,61.1,54.0,7.14,7.15,4.37,8105.72
1.25,Premium,I,SI2,60.5,58.0,7.0,6.96,4.22,5648.62
2.0,Fair,H,SI1,61.2,50.0,8.17,8.08,4.97,13773.43
0.7,Ideal,G,SI1,62.5,56.0,5.67,5.69,3.55,2765.49
0.39,Good,F,VS2,64.3,55.0,4.56,4.64,2.96,876.79
0.5,Ideal,E,VS2,60.8,57.0,5.16,5.13,3.13,2008.66
0.3,Premium,E,VS2,61.6,58.0,4.33,4.31,2.66,462.45
1.37,Ideal,J,VS2,63.0,57.0,7.11,7.05,4.46,7475.36
0.8,Ideal,H,VS2,62.1,54.0,5.96,5.99,3.71,3782.0
0.28,Very Good,F,VVS1,60.1,59.0,4.24,4.25,2.55,1038.41
0.34,Good,E,SI1,60.5,60.1,4.5,4.53,2.73,-34.36
0.3,Very Good,E,VS2,62.6,58.0,4.25,4.28,2.67,440.14
0.85,Ideal,E,SI2,62.8,57.0,6.06,6.01,3.79,3321.92
1.0,Very Good,E,SI1,60.9,59.0,6.38,6.43,3.9,5608.33
0.41,Premium,G,VS2,62.6,59.0,4.73,4.76,2.97,916.69
1.5,Premium,G,VS2,60.3,60.0,7.34,7.26,4.4,10632.34
0.72,Very Good,H,SI2,63.3,57.0,5.7,5.67,3.6,1315.23
0.33,Premium,G,VS1,62.0,59.0,4.42,4.36,2.72,686.35
0.39,Ideal,E,IF,61.5,55.5,4.68,4.72,2.88,2330.01
0.4,Ideal,E,VS2,61.4,57.0,4.78,4.75,2.92,1235.74
1.01,Good,F,SI1,63.5,59.0,6.29,6.38,4.02,5420.04
1.02,Ideal,I,SI2,60.6,56.0,6.57,6.53,3.97,3618.57
1.01,Ideal,D,SI1,63.0,56.0,6.36,6.41,4.02,5995.01
0.7,Ideal,F,SI1,61.8,56.0,5.68,5.75,3.53,3010.84
0.57,Very Good,F,VS2,59.5,57.0,5.39,5.43,3.22,2465.42
1.5,Very Good,F,SI1,63.9,58.0,7.12,7.16,4.56,10234.41
1.01,Premium,J,SI2,59.3,56.0,6.51,6.45,3.84,2674.92
0.51,Ideal,D,VS2,61.2,55.0,5.17,5.13,3.15,2341.81
1.0,Premium,E,SI2,61.7,58.0,6.39,6.34,3.93,4645.89
0.71,Premium,E,VVS1,62.5,57.0,5.67,5.62,3.53,4399.43
0.52,Very Good,D,VVS2,59.8,55.0,5.28,5.35,3.18,3003.33
0.4,Good,I,IF,62.3,62.0,4.69,4.72,2.93,684.31
0.81,Premium,I,VVS2,62.9,59.0,5.95,5.84,3.71,3835.35
0.53,Ideal,F,VVS2,61.3,55.0,5.23,5.27,3.22,2905.21
2.02,Premium,I,SI2,59.4,59.0,8.25,8.21,4.89,13088.29
2.11,Ideal,I,SI1,61.0,57.0,8.37,8.29,5.08,14957.62
1.15,Ideal,D,VS2,58.5,57.0,6.96,6.93,4.06,7833.76
0.7,Premium,I,VVS2,60.1,59.0,5.8,5.72,3.46,2939.08
1.07,Premium,F,SI1,61.7,56.0,6.66,6.5,4.06,6100.88
0.56,Ideal,H,SI1,61.9,54.0,5.3,5.33,3.29,1171.6
1.74,Ideal,G,VS2,62.9,57.0,7.68,7.64,4.82,12960.1
0.31,Very Good,G,VVS2,62.2,56.0,4.31,4.34,2.69,973.5
0.5,Very Good,H,VVS2,62.9,56.0,5.03,5.08,3.18,1829.68
1.07,Ideal,D,VVS2,60.3,56.0,6.63,6.68,4.01,7859.22
0.3,Premium,G,VS1,61.8,59.0,4.37,4.34,2.69,412.92
0.51,Ideal,E,SI1,62.1,55.0,5.09,5.15,3.18,1554.89
0.91,Very Good,G,SI1,63.5,58.0,6.15,6.04,3.87,4405.6
0.3,Very Good,H,SI1,61.3,58.0,4.29,4.33,2.64,-885.32
0.7,Ideal,F,VS2,61.0,55.0,5.74,5.79,3.52,3630.52
0.76,Ideal,D,VS1,61.7,56.0,5.84,5.87,3.61,4714.23
1.15,Ideal,I,VS1,61.3,56.0,6.74,6.76,4.14,6734.21
1.47,Premium,J,SI2,60.0,58.0,7.36,7.31,4.4,6883.46
1.2,Ideal,G,SI1,61.8,59.0,6.77,6.8,4.19,7233.73
1.07,Ideal,E,SI1,60.4,57.0,6.62,6.56,3.98,6346.96
1.01,Ideal,F,SI1,62.0,54.0,6.41,6.49,4.0,5786.87
0.28,Premium,G,VVS2,60.2,60.0,4.24,4.26,2.56,777.48
2.27,Premium,H,SI2,60.7,59.0,8.5,8.45,5.15,16057.97
0.4,Premium,D,VS2,61.7,59.0,4.75,4.72,2.92,1327.5
0.39,Very Good,J,VS1,63.5,58.0,4.64,4.59,2.93,-874.87
1.14,Premium,H,SI2,60.6,59.0,6.8,6.77,4.11,5079.96
0.53,Ideal,E,VVS1,61.9,55.0,5.2,5.21,3.22,3022.82
0.4,Ideal,I,SI2,61.0,58.0,4.74,4.77,2.9,-1552.54
0.58,Premium,H,VS2,59.7,59.0,5.42,5.33,3.21,1822.04
0.7,Premium,D,SI1,61.2,58.0,5.74,5.7,3.5,3139.11
0.55,Ideal,H,IF,61.5,55.0,5.25,5.29,3.25,2785.94
0.72,Very Good,I,VS2,63.3,57.0,5.66,5.72,3.6,2423.91
0.3,Ideal,F,SI1,62.3,53.9,4.28,4.31,2.68,-24.98
1.02,Ideal,H,SI1,61.9,57.0,6.46,6.4,3.98,5079.23
0.51,Very Good,I,SI1,63.5,55.0,5.07,5.11,3.23,104.02
0.65,Premium,E,SI2,62.6,59.0,5.54,5.49,3.45,1494.69
1.07,Ideal,H,SI1,61.1,56.0,6.63,6.6,4.04,5546.21
0.43,Ideal,G,VVS1,61.8,55.0,4.87,4.9,3.02,1966.94
0.32,Premium,I,IF,60.3,58.0,4.41,4.45,2.67,497.58
0.28,Very Good,F,VS2,62.7,58.0,4.14,4.15,2.6,253.99
1.7,Very Good,G,VS2,62.6,57.0,7.6,7.67,4.78,12499.18
0.51,Very Good,I,SI1,62.5,58.0,5.05,5.12,3.18,114.86
0.71,Ideal,D,VS2,60.4,57.0,5.77,5.82,3.5,3976.26
0.4,Premium,E,VS2,62.0,58.0,4.73,4.69,2.92,1147.73
0.9,Ideal,G,SI1,60.2,56.0,6.24,6.29,3.77,4584.61
0.59,Good,F,VS1,60.5,61.0,5.43,5.5,3.31,2637.88
1.19,Premium,D,SI2,58.6,61.0,6.93,6.89,4.05,6568.15
0.51,Premium,G,VS2,61.3,59.0,5.17,5.11,3.15,1675.14
0.5,Very Good,E,VS2,61.8,57.0,5.05,5.11,3.14,1942.9
1.01,Fair,H,SI2,64.9,56.0,6.33,6.25,4.08,3148.15
0.63,Premium,E,VS1,60.4,58.0,5.59,5.64,3.39,3263.36
0.72,Ideal,D,SI2,62.7,55.0,5.7,5.72,3.58,2493.25
0.3,Ideal,F,VS2,60.7,57.0,4.34,4.29,2.62,543.66
0.3,Ideal,E,VVS2,61.6,56.0,4.32,4.35,2.67,1280.11
0.29,Very Good,D,VVS2,59.1,61.0,4.33,4.37,2.57,1289.87
1.0,Very Good,E,SI2,63.2,56.0,6.33,6.36,4.01,4619.08
1.17,Ideal,G,VS1,61.7,57.0,6.71,6.75,4.15,7926.55
1.56,Very Good,H,VVS2,63.3,58.0,7.3,7.35,4.64,11349.87
0.56,Ideal,E,SI1,62.7,57.0,5.27,5.23,3.29,1841.07
0.41,Very Good,I,SI2,63.5,57.0,4.72,4.7,2.99,-1672.88
1.53,Very Good,I,VS1,62.8,55.0,7.35,7.4,4.63,10198.99
0.52,Very Good,J,SI1,62.5,59.0,5.14,5.16,3.22,-798.94
0.4,Ideal,J,SI1,61.4,55.0,4.75,4.8,2.93,-1458.46
1.0,Premium,F,VS2,59.0,59.0,6.54,6.51,3.85,6143.6
0.36,Ideal,F,VS1,61.5,55.0,4.57,4.61,2.82,1286.74
0.41,Ideal,E,VS2,61.8,57.0,4.76,4.78,2.95,1341.83
0.9,Premium,H,SI1,61.4,60.0,6.13,6.08,3.75,3951.33
1.59,Premium,G,SI1,62.3,60.0,7.49,7.42,4.64,10752.94
1.03,Premium,G,VS1,62.2,59.0,6.41,6.46,4.0,6499.5
0.38,Premium,G,VS1,61.9,56.0,4.68,4.63,2.88,1063.21
0.74,Ideal,E,SI2,59.2,59.0,5.92,5.97,3.52,2417.49
1.5,Very Good,G,SI1,63.1,59.0,7.22,7.27,4.57,9950.03
1.01,Good,E,SI1,59.3,64.0,6.47,6.49,3.84,5458.46
1.71,Premium,H,VS2,62.5,58.0,7.64,7.52,4.74,12100.69
0.9,Very Good,G,VS2,61.3,59.0,6.15,6.21,3.79,5017.02
1.09,Ideal,G,SI2,61.2,57.0,6.63,6.68,4.07,5267.33
0.78,Very Good,E,VS1,60.0,56.0,6.0,6.03,3.61,4569.67
0.32,Ideal,D,VS2,61.5,56.0,4.41,4.44,2.72,942.55
0.3,Ideal,F,IF,62.0,56.0,4.31,4.33,2.68,1584.5
1.01,Premium,G,SI1,58.8,58.0,6.59,6.51,3.85,5432.66
0.32,Ideal,D,VVS2,61.7,55.0,4.39,4.42,2.72,1657.87
1.05,Premium,H,VS2,62.7,59.0,6.49,6.43,4.05,5809.61
0.9,Ideal,H,SI1,61.1,58.0,6.24,6.19,3.79,3982.72
0.54,Ideal,G,VVS1,62.2,56.0,5.2,5.22,3.24,2812.35
1.5,Ideal,E,SI1,62.6,56.0,7.27,7.3,4.56,10398.7
1.01,Good,D,SI1,62.9,57.0,6.34,6.37,4.0,5734.8
1.76,Ideal,F,SI2,62.6,55.0,7.69,7.64,4.8,11891.19
1.01,Fair,F,VS2,65.2,52.0,6.31,6.29,4.11,5515.0
1.03,Ideal,H,SI2,60.5,57.0,6.58,6.52,3.96,4199.83
0.3,Ideal,E,VVS1,60.1,57.0,4.38,4.41,2.64,1350.29
2.03,Ideal,G,SI2,62.5,56.0,8.1,8.05,5.05,14283.92
0.54,Premium,I,VVS1,60.8,61.0,5.28,5.22,3.19,1633.78
1.01,Premium,D,SI2,58.3,59.0,6.67,6.63,3.88,4878.36
1.51,Fair,I,I1,65.1,57.0,7.16,7.12,4.65,4700.47
0.56,Very Good,E,VS1,62.7,60.0,5.25,5.28,3.3,2583.11
0.47,Premium,G,VS2,61.0,59.0,5.03,5.0,3.06,1389.32
0.9,Very Good,G,SI2,61.1,55.0,6.21,6.26,3.81,3505.68
0.57,Premium,E,VS2,61.0,58.0,5.34,5.31,3.25,2498.15
0.36,Ideal,G,VVS2,61.8,55.0,4.57,4.62,2.84,1431.47
0.9,Premium,H,VS2,61.2,61.0,6.21,6.14,3.78,4458.69
0.8,Good,F,VS2,60.5,62.3,5.97,6.01,3.62,4104.78
0.5,Ideal,E,VVS2,61.7,55.7,5.09,5.12,3.13,2737.12
1.16,Very Good,I,SI1,62.7,57.0,6.67,6.76,4.21,5775.37
0.54,Ideal,G,SI2,62.3,58.0,5.17,5.2,3.23,480.39
0.23,Premium,E,VVS2,61.8,58.0,3.94,3.92,2.43,747.65
0.96,Premium,D,SI2,59.1,58.0,6.53,6.44,3.83,4431.62
0.38,Ideal,E,VS2,61.9,57.0,4.61,4.66,2.87,1152.58
0.32,Ideal,G,VVS2,61.2,56.0,4.42,4.41,2.7,1151.5
0.71,Ideal,D,VVS2,61.6,56.0,5.69,5.77,3.53,4686.28
1.05,Premium,F,VS1,62.3,55.0,6.57,6.49,4.07,6864.03
1.16,Premium,G,VVS2,60.0,59.0,6.89,6.82,4.11,7991.37
0.9,Very Good,D,SI1,63.0,58.0,6.11,6.14,3.86,4850.43
0.41,Good,F,VS2,59.7,63.0,4.8,4.85,2.88,956.63
0.71,Very Good,I,SI2,61.9,54.0,5.67,5.74,3.53,906.92
0.74,Very Good,H,VS1,62.3,56.0,5.75,5.78,3.59,3455.01
0.73,Premium,I,VS1,61.2,59.0,5.82,5.84,3.57,2807.56
1.16,Ideal,H,SI2,61.1,56.0,6.78,6.79,4.15,5442.89
1.57,Fair,H,VS1,67.3,66.0,7.85,5.75,3.87,9387.05
0.3,Very Good,D,VS2,62.9,58.0,4.23,4.26,2.67,647.06
0.58,Ideal,F,SI2,60.9,56.0,5.42,5.39,3.29,1026.4
0.32,Very Good,D,VS2,62.0,57.0,4.38,4.42,2.73,802.14
1.51,Ideal,I,SI1,62.7,57.0,7.35,7.3,4.59,9131.1
0.7,Premium,G,SI1,62.0,61.0,5.67,5.62,3.5,2597.73
0.88,Ideal,E,SI2,62.2,57.0,6.08,6.2,3.82,3678.74
0.7,Ideal,G,SI1,62.2,56.0,5.72,5.69,3.55,2734.03
0.25,Ideal,F,VVS1,62.3,56.0,4.01,4.03,2.5,981.53
0.7,Very Good,F,VS2,62.4,59.0,5.64,5.71,3.54,3425.4
1.07,Ideal,G,SI2,61.7,57.0,6.55,6.59,4.05,5091.1
0.39,Fair,G,IF,57.1,61.0,4.83,4.88,2.77,1236.72
1.55,Ideal,F,VS2,61.8,54.0,7.44,7.48,4.61,11425.71
1.18,Ideal,I,VS2,62.3,56.0,6.76,6.73,4.21,6675.81
1.21,Premium,H,SI1,61.8,58.0,6.83,6.79,4.21,6745.24
0.27,Ideal,I,VS1,62.1,54.0,4.16,4.18,2.59,-513.4
0.35,Ideal,H,VVS2,62.5,57.0,4.54,4.48,2.82,761.86
0.7,Ideal,H,VS2,62.4,56.0,5.63,5.72,3.54,2925.13
0.91,Premium,I,VS2,62.4,61.0,6.18,6.16,3.85,4023.86
0.33,Ideal,D,VS2,62.6,56.0,4.43,4.39,2.76,961.51
2.14,Premium,I,SI1,61.3,61.0,8.32,8.28,5.09,15150.73
1.2,Premium,I,VS2,62.6,58.0,6.77,6.72,4.22,6746.06
0.3,Very Good,H,VVS1,62.6,56.0,4.25,4.28,2.67,463.38
0.5,Ideal,I,SI1,59.8,59.0,5.18,5.15,3.09,135.85
0.55,Ideal,G,VS2,62.2,54.0,5.27,5.28,3.28,2163.4
2.01,Very Good,H,VS2,63.5,59.0,7.92,7.86,5.01,15062.56
0.3,Ideal,H,VVS2,61.3,57.0,4.33,4.31,2.65,496.32
1.65,Premium,D,SI1,60.4,60.0,7.63,7.58,4.59,11897.45
0.26,Very Good,F,VS2,62.4,58.0,4.06,4.08,2.54,131.63
0.42,Ideal,D,VS1,61.1,57.0,4.84,4.81,2.95,1933.4
0.5,Premium,F,VVS2,61.9,58.0,5.07,5.1,3.15,2542.05
1.09,Ideal,G,VS2,62.4,55.0,6.61,6.56,4.11,6823.6
0.41,Premium,G,SI1,61.3,58.0,4.76,4.8,2.93,395.63
1.06,Premium,F,SI1,58.4,61.0,6.73,6.69,3.92,6010.11
1.49,Fair,F,SI1,59.6,63.0,7.2,7.34,4.33,9500.83
0.37,Very Good,F,VS2,59.2,61.0,4.63,4.69,2.76,916.59
0.4,Very Good,D,VS2,63.5,55.0,4.69,4.66,2.97,1333.33
0.9,Very Good,E,SI1,62.2,60.0,6.14,6.17,3.83,4615.96
0.35,Very Good,H,SI1,61.3,55.0,4.55,4.58,2.8,-515.05
1.51,Very Good,E,VS2,62.4,59.0,7.26,7.36,4.56,10948.46
1.08,Premium,G,SI1,59.4,60.0,6.7,6.63,3.96,6016.16
0.38,Ideal,F,VS1,62.4,54.0,4.64,4.68,2.91,1404.58
1.06,Ideal,I,VS2,61.4,57.0,6.57,6.52,4.02,5555.2
0.51,Ideal,E,VS2,61.5,55.0,5.23,5.14,3.19,2053.28
1.0,Fair,F,SI1,64.8,58.0,6.26,6.21,4.04,4725.54
0.32,Ideal,F,VS2,60.3,55.0,4.45,4.4,2.67,732.81
1.02,Premium,F,VS2,62.4,59.0,6.4,6.45,4.01,6283.75
0.42,Premium,H,VS2,62.1,57.0,4.8,4.76,2.97,551.15
1.02,Premium,G,SI2,62.3,58.1,6.41,6.38,4.0,4529.42
0.31,Very Good,F,VS2,63.4,56.0,4.32,4.29,2.73,409.73
0.9,Good,E,SI1,63.9,57.0,6.12,6.08,3.9,4449.31
1.05,Ideal,F,VS2,59.1,57.0,6.67,6.66,3.94,6691.01
0.9,Good,F,SI1,58.0,58.0,6.24,6.28,3.63,4629.21
0.33,Ideal,D,VVS2,60.9,57.0,4.46,4.48,2.72,1700.46
0.4,Very Good,E,VS1,60.1,58.0,4.72,4.76,2.85,1555.11
1.37,Ideal,G,SI2,62.8,57.0,7.12,7.06,4.45,7809.5
0.72,Ideal,F,IF,62.0,57.0,5.71,5.78,3.56,4840.47
1.08,Ideal,I,VS2,61.6,56.0,6.63,6.59,4.07,5730.52
0.35,Premium,E,IF,59.0,61.0,4.64,4.62,2.73,1873.07
2.02,Premium,H,SI2,61.5,58.0,8.14,8.1,4.99,13581.97
1.88,Good,J,SI2,57.9,59.0,8.16,8.11,4.71,10608.78
1.52,Ideal,H,VS2,61.8,55.1,7.38,7.42,4.58,10421.43
1.01,Ideal,G,SI1,62.2,55.0,6.44,6.46,4.01,5508.21
0.56,Ideal,G,VS1,60.7,57.0,5.27,5.34,3.22,2608.36
0.96,Premium,E,SI2,62.8,60.0,6.3,6.24,3.94,4162.48
0.34,Very Good,E,SI1,63.4,55.0,4.46,4.44,2.82,93.91
0.8,Ideal,E,SI1,61.1,56.0,5.98,6.01,3.66,3943.3
0.3,Ideal,D,VS1,61.0,57.0,4.31,4.32,2.63,1137.53
0.54,Ideal,E,VS2,61.8,57.0,5.23,5.26,3.24,2319.53
0.71,Good,G,VS2,63.5,59.0,5.63,5.67,3.59,3115.83
1.01,Very Good,F,VS2,61.5,57.0,6.4,6.48,3.96,6244.69
1.02,Ideal,I,SI2,62.8,58.0,6.37,6.41,4.01,3625.92
2.01,Very Good,I,VS2,62.1,60.0,7.96,8.01,4.96,14592.74
0.33,Ideal,G,VS1,62.4,56.0,4.43,4.45,2.77,799.28
0.44,Ideal,G,SI1,62.7,57.0,4.82,4.85,3.03,677.58
0.31,Very Good,E,VVS1,62.3,59.0,4.32,4.38,2.71,1214.46
0.26,Very Good,G,VVS2,62.6,56.0,4.1,4.13,2.57,601.49
1.58,Ideal,E,SI1,61.0,57.0,7.5,7.55,4.59,11145.47
0.32,Ideal,E,SI2,61.6,56.0,4.4,4.43,2.72,-824.89
0.31,Good,G,SI1,63.3,57.0,4.3,4.33,2.73,-550.13
0.75,Very Good,H,SI2,61.9,56.0,5.79,5.87,3.61,1679.24
0.39,Very Good,H,VVS2,62.4,57.0,4.67,4.7,2.92,971.61
0.41,Ideal,E,VVS2,62.8,54.0,4.77,4.72,2.98,2024.24
0.54,Ideal,I,IF,61.6,53.0,5.26,5.3,3.25,2210.32
0.55,Ideal,D,VVS2,61.5,56.0,5.26,5.28,3.24,3335.59
0.35,Ideal,H,VVS1,62.6,57.0,4.47,4.45,2.79,885.71
1.82,Very Good,G,SI2,61.3,58.0,7.83,7.94,4.83,12112.22
0.72,Ideal,J,VS1,61.1,56.0,5.84,5.82,3.56,1924.34
1.52,Good,I,SI1,64.0,58.0,7.2,7.27,4.63,9022.71
0.4,Good,F,VVS1,60.6,62.0,4.71,4.73,2.86,1643.13
0.3,Premium,F,IF,61.6,58.0,4.34,4.3,2.66,1455.35
1.2,Ideal,H,SI1,60.8,57.0,6.9,6.88,4.19,6726.98
0.56,Fair,F,VS2,57.0,67.0,5.49,5.36,3.09,1460.92
0.54,Ideal,H,VVS2,61.8,56.0,5.25,5.27,3.25,2238.57
1.55,Ideal,G,VS1,62.0,57.0,7.37,7.42,4.58,11507.86
1.33,Good,D,SI2,59.0,64.0,7.22,7.12,4.23,7555.01
0.37,Premium,H,VS2,61.4,58.0,4.64,4.61,2.84,174.82
0.37,Premium,D,VS2,60.5,59.0,4.66,4.69,2.83,1162.49
1.01,Ideal,F,SI2,61.3,57.0,6.4,6.35,3.91,4806.69
1.19,Very Good,D,SI2,63.5,57.0,6.67,6.75,4.26,6569.02
0.9,Very Good,I,SI1,60.5,58.0,6.22,6.27,3.78,3433.31
0.32,Ideal,E,IF,62.6,55.0,4.38,4.41,2.75,1791.28
0.67,Good,J,VS1,64.2,55.6,5.54,5.57,3.57,1210.68
0.4,Good,D,VS2,63.5,55.0,4.66,4.69,2.97,1214.2
0.35,Very Good,G,IF,62.6,59.0,4.43,4.49,2.79,1585.37
0.25,Ideal,E,VVS2,62.1,57.0,4.04,4.07,2.52,948.37
2.38,Premium,H,VS1,60.9,59.0,8.62,8.59,5.24,19034.44
2.03,Premium,J,SI1,62.1,59.0,8.12,8.06,5.02,13206.5
1.08,Ideal,E,VVS1,61.0,56.0,6.66,6.62,4.05,7745.66
0.71,Ideal,E,SI1,60.8,57.0,5.8,5.84,3.54,3109.28
1.01,Premium,F,SI2,61.3,60.0,6.43,6.4,3.93,4624.51
0.61,Very Good,I,VS2,62.7,57.0,5.39,5.42,3.39,1504.36
0.3,Ideal,I,SI1,61.5,57.0,4.3,4.35,2.66,-1268.65
0.48,Ideal,F,VVS1,62.0,55.0,4.99,5.04,3.11,2601.56
0.43,Ideal,D,SI1,61.5,56.0,4.87,4.82,2.98,1102.97
0.7,Premium,D,VS1,61.0,59.0,5.79,5.72,3.51,3986.22
2.17,Ideal,I,SI1,60.4,56.0,8.36,8.43,5.07,15710.8
0.7,Good,G,VS2,62.1,61.0,5.68,5.69,3.53,2994.51
1.73,Ideal,F,VS1,62.1,57.0,7.73,7.64,4.77,13367.75
1.5,Very Good,J,VS1,61.3,59.0,7.36,7.41,4.53,8941.91
0.75,Premium,I,SI1,62.5,58.0,5.77,5.82,3.62,2112.05
0.71,Good,F,VS2,63.8,58.0,5.61,5.64,3.59,3351.07
1.0,Very Good,G,VS1,59.4,59.0,6.52,6.54,3.88,6198.13
1.02,Good,H,SI2,57.9,61.0,6.75,6.68,3.89,3721.8
0.7,Premium,E,SI1,60.7,58.0,5.74,5.73,3.48,2966.51
0.5,Ideal,E,VVS1,61.9,58.0,5.07,5.11,3.15,2742.5
2.15,Premium,H,SI2,62.8,58.0,8.22,8.17,5.15,14876.72
0.34,Ideal,G,VVS2,61.1,57.0,4.48,4.52,2.75,1295.28
0.84,Very Good,I,VVS2,61.7,56.0,6.03,6.07,3.74,4208.78
1.01,Very Good,D,SI2,64.0,56.0,6.3,6.38,4.06,4914.57
0.51,Premium,E,SI2,61.8,58.0,5.11,5.08,3.15,441.71
0.56,Ideal,D,SI1,62.3,56.0,5.26,5.33,3.3,2109.04
0.35,Ideal,F,VS2,61.4,55.0,4.55,4.6,2.81,892.7
1.05,Premium,D,SI1,61.6,61.0,6.55,6.5,4.02,6142.11
0.46,Ideal,E,VS2,62.1,57.0,4.93,4.89,3.05,1709.51
1.54,Premium,G,VS1,61.1,56.0,7.54,7.48,4.59,11231.51
0.3,Ideal,F,VVS1,61.6,55.0,4.33,4.37,2.68,1284.46
0.7,Ideal,G,SI2,61.8,53.0,5.73,5.69,3.53,1865.18
0.31,Good,H,VS1,64.0,59.0,4.25,4.28,2.73,-175.91
0.4,Very Good,E,VVS2,63.6,55.0,4.67,4.7,2.98,1823.24
1.01,Ideal,D,SI1,60.8,56.0,6.54,6.48,3.96,5957.49
0.51,Very Good,G,VVS2,63.5,56.0,5.11,5.07,3.23,2310.53
0.9,Fair,D,VS2,57.5,66.0,6.3,6.25,3.61,4721.98
0.32,Premium,E,SI1,60.1,60.0,4.47,4.42,2.67,-10.71
0.3,Premium,F,SI1,62.1,60.0,4.28,4.26,2.65,-241.22
0.47,Ideal,J,SI1,61.9,55.0,5.0,5.05,3.11,-962.47
0.31,Very Good,D,SI1,62.1,58.0,4.3,4.33,2.68,137.91
0.58,Ideal,G,IF,61.3,56.0,5.36,5.39,3.29,3489.31
0.4,Ideal,F,VVS1,61.3,56.0,4.76,4.73,2.91,1960.3
0.23,Very Good,E,VVS1,61.3,58.0,3.94,3.96,2.42,800.35
1.14,Ideal,I,SI1,62.2,56.0,6.65,6.7,4.15,5742.82
0.58,Premium,F,VS2,62.2,55.0,5.4,5.31,3.33,2476.61
1.37,Premium,J,SI2,60.7,60.0,7.19,7.07,4.33,5833.22
2.25,Ideal,I,SI2,60.5,56.0,8.49,8.54,5.15,15509.43
1.09,Ideal,F,SI1,62.0,56.0,6.56,6.61,4.08,6482.8
1.01,Very Good,F,SI1,63.3,59.0,6.42,6.38,4.05,5449.05
1.59,Premium,D,SI2,59.4,61.0,7.62,7.56,4.51,10310.79
0.51,Very Good,G,VVS2,61.5,56.0,5.12,5.15,3.16,2433.86
0.51,Premium,H,SI2,62.9,56.0,5.08,5.06,3.19,-318.07
0.32,Ideal,E,VS2,62.1,55.0,4.36,4.4,2.72,773.81
0.7,Good,D,VS2,64.1,59.0,5.56,5.49,3.54,3520.21
1.24,Premium,E,SI2,60.8,57.0,6.98,6.94,4.23,6827.2
0.44,Good,J,VS1,63.1,57.0,4.83,4.87,3.06,-606.84
0.42,Very Good,D,VS1,60.7,60.0,4.81,4.88,2.94,1801.57
