carat,cut,color,clarity,depth,table,x,y,z,price_predicted
0.73,Ideal,G,VS2,61.7,56.0,5.79,5.81,3.58,3635.6312081818155
0.34,Good,E,SI1,63.3,57.0,4.44,4.47,2.82,-80.1445704744142
1.0,Premium,J,SI1,62.8,59.0,6.37,6.27,3.97,3356.228843321398
0.54,Ideal,G,VS1,61.8,55.3,5.22,5.24,3.23,2404.677058805318
1.02,Very Good,F,SI2,60.9,58.0,6.43,6.55,3.95,4776.1772338398405
0.8,Very Good,G,VVS2,62.5,56.0,5.95,5.98,3.73,4774.911756270226
0.31,Very Good,H,SI1,61.0,61.0,4.33,4.39,2.66,-871.1485474756187
2.0,Premium,D,SI2,61.6,59.0,8.2,8.09,5.02,14235.899346031618
1.5,Premium,J,VVS2,61.5,60.0,7.31,7.27,4.48,9368.036265539544
1.22,Premium,I,SI2,62.5,58.0,6.8,6.76,4.24,5382.088280614607
0.72,Very Good,I,VS2,61.8,60.0,5.72,5.76,3.55,2385.8249843855506
0.3,Good,G,SI2,63.3,57.0,4.25,4.28,2.7,-1573.3179234141644
0.54,Good,E,VS2,60.2,61.0,5.27,5.32,3.19,2020.6295415214558
1.02,Premium,F,SI1,62.3,58.0,6.38,6.46,4.0,5734.156534633783
1.01,Very Good,F,VS2,63.1,60.0,6.39,6.29,4.0,6071.40783486151
0.3,Ideal,G,IF,60.9,56.0,4.34,4.36,2.65,1418.0438991179612
1.19,Premium,I,SI2,61.6,56.0,6.87,6.83,4.22,5082.990178968086
1.51,Good,I,SI2,63.6,60.0,7.23,7.27,4.61,7892.516699178512
1.02,Good,G,I1,57.4,59.0,6.64,6.6,3.8,1723.4137661690515
3.22,Ideal,I,I1,62.6,55.0,9.49,9.42,5.92,22610.27484670551
0.41,Ideal,E,SI1,62.9,57.0,4.76,4.72,2.98,666.0977273695785
0.52,Very Good,D,SI2,62.4,59.0,5.05,5.15,3.18,718.0113805816854
1.52,Premium,D,SI1,60.8,61.0,7.39,7.26,4.45,10627.756085146071
0.36,Ideal,H,VVS1,62.0,54.0,4.59,4.61,2.85,990.1932017133045
0.51,Premium,D,SI1,62.7,59.0,5.08,5.06,3.18,1555.2503101466732
0.53,Premium,J,VS2,62.7,56.0,5.18,5.15,3.24,-23.092017987885356
1.01,Good,F,SI2,61.3,62.0,6.44,6.48,3.96,4374.027272406496
0.7,Good,F,I1,63.9,60.0,5.65,5.52,3.58,-1114.0491272360441
0.34,Ideal,H,VS2,61.2,55.0,4.49,4.53,2.76,156.19838400727485
1.04,Premium,G,VS2,62.2,58.0,6.49,6.4,4.01,6247.277885350961
0.39,Premium,E,VS2,60.1,61.0,4.76,4.72,2.85,1054.2171203588491
1.01,Premium,F,VS1,61.7,58.0,6.4,6.43,3.96,6552.557805464407
0.3,Very Good,F,VVS1,62.6,56.0,4.27,4.29,2.68,1142.2719426168173
1.71,Ideal,G,VS1,63.0,56.0,7.65,7.58,4.8,12980.207711497203
1.1,Premium,H,VS2,61.4,58.0,6.68,6.62,4.08,6289.97820812628
1.15,Ideal,H,SI2,62.6,55.0,6.74,6.65,4.19,5296.483300971206
0.32,Ideal,H,VS1,61.8,55.0,4.41,4.42,2.73,282.24660946071026
2.01,Premium,G,SI2,59.9,62.0,8.15,8.04,4.85,13957.124629864393
0.24,Very Good,G,VVS1,61.7,56.0,3.98,4.02,2.46,618.7554847410915
0.41,Very Good,E,SI2,62.9,58.0,4.74,4.77,2.99,-414.05075971281076
0.28,Very Good,D,VVS1,60.6,58.0,4.23,4.25,2.57,1315.473625660788
0.31,Premium,D,SI1,60.9,60.0,4.38,4.39,2.67,122.13168586756592
0.45,Good,F,VS2,56.8,62.0,5.1,5.14,2.91,1316.495870055271
0.44,Very Good,E,VS1,60.7,58.0,4.88,4.91,2.97,1799.8816661153428
0.37,Ideal,F,VVS1,61.3,56.0,4.65,4.68,2.86,1735.7706429457508
0.9,Premium,G,VS2,62.4,61.0,6.17,6.13,3.84,4909.571828297849
0.53,Ideal,F,SI2,62.2,53.0,5.19,5.22,3.24,690.2132174280905
0.54,Premium,I,IF,58.8,61.0,5.35,5.29,3.13,2026.89798028607
1.0,Very Good,E,VS2,59.0,58.0,6.49,6.53,3.84,6250.993206711048
0.32,Ideal,F,IF,61.3,57.0,4.42,4.46,2.72,1716.8570720308776
1.23,Premium,H,SI2,61.2,57.0,6.89,6.86,4.21,6012.394772056513
1.02,Very Good,E,SI2,62.8,55.0,6.4,6.43,4.03,4824.541719727413
0.56,Premium,E,VVS2,59.2,56.0,5.49,5.39,3.22,3084.6947500490237
0.43,Ideal,H,IF,62.2,55.0,4.87,4.84,3.02,1781.305693956499
0.52,Ideal,G,VS1,62.1,54.0,5.14,5.17,3.2,2275.264556253593
0.38,Very Good,G,SI1,61.8,53.7,4.67,4.69,2.9,188.93856962221025
0.9,Very Good,I,VVS1,63.4,57.0,6.09,6.12,3.87,4741.064509723617
1.72,Premium,H,SI1,62.0,57.0,7.67,7.63,4.74,11639.001122392425
0.31,Very Good,H,SI1,61.7,59.0,4.36,4.39,2.7,-897.8038322369362
2.02,Premium,F,SI2,61.0,59.0,8.2,8.13,4.98,14227.942134509884
0.56,Ideal,E,VVS2,61.0,56.0,5.32,5.36,3.26,3213.1669696840213
0.42,Ideal,G,IF,62.0,57.0,4.82,4.8,2.98,2173.5628729582145
0.34,Very Good,I,SI1,61.3,61.0,4.45,4.49,2.74,-1174.7158981707921
0.43,Ideal,G,VS1,62.3,56.0,4.82,4.85,3.01,1528.2422097716849
1.51,Fair,J,SI1,63.4,60.0,7.31,7.18,4.59,7327.422085202712
0.32,Very Good,G,VS2,60.2,57.0,4.42,4.45,2.67,397.6876398965301
1.24,Premium,G,VS1,62.0,55.0,6.95,6.89,4.29,8424.157173280757
0.31,Ideal,E,VS1,61.4,56.0,4.38,4.35,2.68,970.4396078169552
1.32,Ideal,G,VVS2,62.3,57.0,6.96,7.04,4.36,9691.953170858498
1.02,Ideal,H,SI2,61.6,55.0,6.49,6.43,3.98,4157.134542616675
0.7,Very Good,J,VS2,61.1,61.0,5.64,5.69,3.46,1357.438114569622
1.0,Premium,F,VS1,62.7,55.0,6.39,6.34,3.99,6459.961328472897
0.41,Ideal,G,VS2,61.4,59.0,4.78,4.76,2.93,1019.620283857304
0.52,Premium,G,SI1,59.7,60.0,5.22,5.2,3.11,1215.0708610747292
0.51,Very Good,D,VS2,60.5,60.0,5.16,5.19,3.13,2158.274328457395
0.3,Premium,D,SI1,61.7,59.0,4.28,4.31,2.65,85.29732086441572
0.39,Good,D,VVS2,58.1,60.0,4.82,4.85,2.81,1851.512823514317
0.38,Premium,G,IF,62.5,60.0,4.64,4.61,2.89,1725.1980844812838
1.01,Premium,F,SI2,58.3,58.0,6.56,6.55,3.82,4743.750353824403
1.36,Ideal,G,SI1,60.9,56.0,7.15,7.16,4.36,8781.944959962573
1.21,Ideal,I,SI1,60.6,55.0,6.92,6.87,4.18,6386.809145668024
0.3,Very Good,F,IF,62.1,57.0,4.26,4.3,2.66,1491.7642887010738
0.41,Premium,D,VVS1,62.2,58.0,4.77,4.71,2.95,2151.9356733651507
2.03,Premium,J,VS1,59.3,60.0,8.36,8.28,4.93,14034.14251437169
0.36,Ideal,D,SI1,62.5,56.0,4.55,4.57,2.85,578.5887143410878
0.4,Premium,D,SI1,61.4,56.0,4.83,4.72,2.93,739.2607408036961
2.11,Premium,D,SI2,60.9,60.0,8.28,8.21,5.02,15416.476828842275
1.06,Ideal,H,SI1,63.0,55.0,6.49,6.44,4.08,5475.683694857512
0.33,Good,I,VS1,63.2,57.0,4.37,4.4,2.77,-467.7240833615101
0.72,Premium,E,IF,61.3,60.0,5.74,5.71,3.51,4774.8818135834035
1.51,Good,J,SI1,62.4,64.0,7.31,7.23,4.54,7844.056016136266
1.0,Premium,G,VS2,62.9,56.0,6.42,6.27,3.99,5873.112438715718
1.02,Ideal,F,SI1,62.8,55.0,6.43,6.4,4.03,5800.012298741932
0.43,Ideal,E,SI2,62.1,56.0,4.85,4.84,3.01,-85.39418063526864
1.0,Fair,G,I1,66.4,59.0,6.16,6.09,4.07,836.071130976452
1.7,Premium,I,SI1,58.6,59.0,7.79,7.75,4.55,10972.244624310026
0.72,Ideal,D,SI2,61.1,58.0,5.76,5.79,3.53,2461.800388010296
1.22,Premium,G,SI1,63.0,57.0,6.84,6.74,4.28,7283.032062558115
1.06,Good,F,VS1,58.5,57.0,6.68,6.73,3.92,6880.144640229815
1.11,Ideal,H,SI1,60.2,54.0,6.82,6.7,4.07,5912.89711240689
1.01,Premium,H,SI2,61.9,59.0,6.42,6.37,3.96,3920.182647509256
1.06,Premium,G,VVS1,61.1,58.0,6.53,6.57,4.0,7245.188940594466
1.54,Premium,E,SI2,59.0,62.0,7.59,7.56,4.47,9572.961214021394
0.56,Very Good,E,SI1,58.5,59.0,5.42,5.45,3.18,1803.536912021405
0.25,Good,F,VS1,63.6,57.0,4.01,4.04,2.56,174.79967108937353
0.9,Ideal,D,SI1,61.6,56.0,6.19,6.21,3.82,5025.531566779908
0.56,Fair,E,SI2,64.5,61.0,5.18,5.14,3.33,-65.0724501482564
0.31,Ideal,F,IF,60.8,56.0,4.43,4.45,2.7,1652.752242245438
0.39,Very Good,D,VS2,60.2,59.0,4.74,4.76,2.86,1286.952915668006
1.01,Premium,F,VS1,59.4,60.0,6.5,6.46,3.85,6553.880827569301
2.02,Ideal,I,SI1,62.4,56.0,8.07,8.11,5.05,14182.673315960032
1.03,Ideal,D,SI2,61.2,57.0,6.51,6.59,4.01,5198.143980504699
1.57,Premium,H,VS1,61.7,58.0,7.47,7.56,4.64,11058.663895575191
0.31,Very Good,D,IF,62.0,56.0,4.33,4.35,2.69,1838.9511071351967
0.5,Premium,D,SI1,61.1,59.0,5.08,5.04,3.09,1550.290879684197
0.3,Ideal,E,VS2,62.4,57.0,4.29,4.24,2.66,550.5804499986502
1.22,Very Good,D,SI2,62.2,58.0,6.85,6.91,4.28,6782.9012220977875
0.27,Very Good,F,VVS2,61.9,58.0,4.17,4.2,2.59,845.6352101413063
0.41,Ideal,E,VVS1,61.9,55.0,4.79,4.78,2.96,2095.7250185534645
1.24,Premium,F,SI1,61.6,59.0,6.9,6.86,4.24,7698.5898689930345
0.41,Very Good,I,VVS1,62.0,56.0,4.75,4.77,2.95,726.956539712492
0.4,Ideal,G,SI2,62.5,53.0,4.75,4.79,2.98,-547.5767537860875
1.01,Ideal,F,SI1,62.0,57.0,6.38,6.42,3.97,5741.623003421398
1.5,Premium,I,VS1,62.7,59.0,7.25,7.3,4.56,9907.213421722483
0.56,Ideal,D,SI2,61.3,56.0,5.3,5.33,3.26,1172.675190106825
0.36,Ideal,I,VS1,62.1,57.0,4.54,4.58,2.83,29.530271326344973
1.51,Premium,I,VS2,59.9,60.0,7.42,7.36,4.43,9700.70195258871
1.3,Very Good,I,VS1,62.1,59.0,6.97,7.01,4.34,7944.120783643528
0.32,Ideal,G,VVS1,61.7,56.0,4.41,4.37,2.71,1186.3533271129859
0.26,Very Good,E,SI1,62.0,54.0,4.08,4.11,2.54,-294.21985475946485
1.51,Very Good,E,SI2,61.8,57.0,7.34,7.32,4.53,9393.304042026155
0.33,Premium,E,VVS1,60.1,58.0,4.51,4.47,2.7,1454.3273248838773
1.34,Ideal,G,VS1,62.7,57.0,7.04,7.1,4.43,9433.389849138242
1.01,Good,E,SI1,63.2,59.0,6.25,6.28,3.96,5551.045659845402
1.0,Premium,G,VS2,60.0,59.0,6.54,6.46,3.9,5867.286351625888
1.42,Ideal,F,VVS1,60.8,56.0,7.25,7.32,4.43,10913.104634239027
0.9,Premium,H,VS2,61.2,61.0,6.18,6.08,3.75,4490.321776230508
1.01,Very Good,E,VS2,63.4,60.0,6.37,6.31,4.02,6140.026771188646
0.36,Premium,D,VS2,60.5,58.0,4.63,4.6,2.79,1107.1559907771475
0.7,Premium,E,SI1,59.1,62.0,5.8,5.74,3.41,2910.0507546592053
0.37,Good,G,SI2,63.3,55.0,4.58,4.61,2.91,-1076.0969956306772
0.91,Very Good,E,SI1,63.3,56.0,6.12,6.17,3.89,4777.520074600971
0.8,Ideal,H,VS2,62.8,57.0,5.91,5.87,3.7,3710.5217066815676
0.9,Good,E,SI2,63.4,60.0,6.02,6.07,3.83,3547.5847514075913
0.31,Ideal,G,IF,61.7,56.0,4.38,4.34,2.69,1436.2546335484526
1.51,Good,G,VS1,62.4,59.0,7.25,7.28,4.53,10840.809880166651
1.11,Premium,I,SI2,61.5,58.0,6.65,6.61,4.08,4364.663976967002
0.41,Ideal,H,VS1,61.0,54.0,4.84,4.8,2.94,929.9134406980543
1.01,Very Good,J,SI2,62.8,59.0,6.34,6.37,3.99,2498.646590418778
0.7,Ideal,D,VS2,61.6,58.0,5.66,5.7,3.5,3871.349525863258
1.63,Ideal,G,VS1,61.7,55.0,7.6,7.56,4.68,12243.404971040587
1.61,Premium,D,SI2,61.3,58.0,7.56,7.49,4.61,10546.354406309772
0.72,Very Good,H,SI1,63.0,58.0,5.68,5.71,3.59,2292.5158163160663
0.54,Premium,G,VS2,62.0,58.0,5.21,5.18,3.22,1950.3369361939654
1.22,Very Good,G,IF,62.0,59.0,6.8,6.85,4.23,8976.291508391601
0.33,Premium,G,IF,59.4,59.0,4.54,4.49,2.68,1498.68430007922
1.34,Very Good,G,VS2,60.7,59.0,7.04,7.07,4.28,9097.844592553
0.76,Ideal,H,VVS1,61.8,57.0,5.82,5.86,3.61,4159.890250215653
1.74,Ideal,E,SI2,62.3,57.0,7.8,7.7,4.83,11589.013116571132
0.32,Ideal,G,SI1,61.3,57.0,4.37,4.4,2.69,-114.23664632596365
0.5,Ideal,F,VS2,61.1,58.0,5.1,5.13,3.13,1956.193997188136
1.44,Good,G,I1,63.2,54.8,7.18,7.21,4.54,5614.707715298049
0.7,Fair,I,SI1,65.2,58.0,5.6,5.56,3.64,803.5719123936665
0.52,Ideal,E,VS2,61.4,54.0,5.2,5.23,3.2,2228.8273975916986
0.73,Very Good,G,VVS1,62.9,59.0,5.7,5.78,3.61,4198.932462472658
1.23,Premium,H,VS1,61.1,58.0,6.91,6.86,4.21,7846.307469441681
1.02,Premium,H,VS2,61.9,57.0,6.5,6.4,3.99,5566.497838701125
1.0,Ideal,E,SI1,61.6,55.0,6.45,6.43,3.97,5703.167996349201
0.7,Very Good,D,SI1,61.1,58.0,5.66,5.73,3.48,3189.950563894346
1.5,Very Good,E,SI2,62.8,57.0,7.17,7.23,4.52,9388.774822609856
2.0,Very Good,J,VVS2,63.0,59.0,7.97,8.0,5.03,14208.336267217031
0.3,Very Good,G,VS2,63.1,56.0,4.28,4.25,2.69,149.8427835310863
0.26,Premium,E,VVS2,58.9,61.0,4.19,4.16,2.46,942.9886004751656
0.58,Premium,E,SI1,62.7,58.0,5.33,5.32,3.34,1904.169645771512
0.4,Very Good,F,VS1,60.4,61.0,4.74,4.77,2.87,1369.0050643806485
0.26,Ideal,D,VS1,62.0,55.0,4.12,4.1,2.55,868.4131769964665
1.0,Fair,H,SI2,65.1,58.0,6.27,6.15,4.05,3033.087633525738
0.52,Fair,F,VS1,57.2,59.0,5.35,5.39,3.07,1653.4907176393995
1.02,Premium,D,SI2,59.7,60.0,6.58,6.55,3.92,4964.256526491206
1.7,Good,I,SI1,59.3,58.0,7.72,7.77,4.59,10833.955379935558
1.01,Premium,H,SI2,61.6,61.0,6.39,6.31,3.91,3920.972766126527
0.55,Ideal,E,VS2,61.8,57.0,5.34,5.27,3.28,2318.5561054570076
1.04,Good,F,VS1,63.2,57.0,6.41,6.44,4.06,6616.638962719127
1.02,Premium,D,VS2,62.9,60.0,6.42,6.37,4.02,6479.088123025618
0.3,Ideal,F,SI1,62.3,54.0,4.3,4.27,2.67,-47.680594142846076
0.97,Ideal,F,I1,60.7,56.0,6.43,6.41,3.9,1701.2274013033177
0.31,Ideal,E,VS2,62.0,55.0,4.35,4.33,2.69,678.6245661317485
0.81,Ideal,H,VS1,61.8,58.0,5.97,6.04,3.71,4110.420122184962
1.02,Premium,D,SI1,62.3,59.0,6.42,6.38,3.99,5942.497147542541
0.3,Premium,I,VVS1,61.1,59.0,4.31,4.33,2.64,-34.555735472772994
0.4,Very Good,E,VS1,62.8,59.0,4.63,4.67,2.92,1442.151473809518
0.71,Very Good,F,VVS1,63.2,60.0,5.65,5.61,3.56,4189.330977165577
0.7,Premium,G,SI1,61.5,58.0,5.69,5.76,3.52,2686.4452013679243
0.23,Ideal,E,SI2,61.5,55.0,3.95,3.98,2.43,-1339.213006536127
1.09,Ideal,G,VS1,62.3,55.0,6.59,6.63,4.12,7158.8275294890045
0.3,Ideal,E,VVS2,61.0,56.0,4.33,4.39,2.66,1309.5680593958664
0.35,Premium,E,VS2,59.5,58.0,4.59,4.62,2.74,896.260902080458
1.13,Ideal,F,VS2,62.1,56.0,6.65,6.71,4.15,7436.044607791746
0.31,Ideal,G,VVS1,61.5,54.0,4.36,4.39,2.69,1189.6493147546976
1.33,Ideal,I,VS2,61.1,54.0,7.14,7.15,4.37,8105.722704300253
1.25,Premium,I,SI2,60.5,58.0,7.0,6.96,4.22,5648.615718186422
2.0,Fair,H,SI1,61.2,50.0,8.17,8.08,4.97,13773.426686334462
0.7,Ideal,G,SI1,62.5,56.0,5.67,5.69,3.55,2765.4926198651597
0.39,Good,F,VS2,64.3,55.0,4.56,4.64,2.96,876.7920919827234
0.5,Ideal,E,VS2,60.8,57.0,5.16,5.13,3.13,2008.659483976499
0.3,Premium,E,VS2,61.6,58.0,4.33,4.31,2.66,462.45010314960246
1.37,Ideal,J,VS2,63.0,57.0,7.11,7.05,4.46,7475.357924960792
0.8,Ideal,H,VS2,62.1,54.0,5.96,5.99,3.71,3781.997756257106
0.28,Very Good,F,VVS1,60.1,59.0,4.24,4.25,2.55,1038.4147817773787
0.34,Good,E,SI1,60.5,60.1,4.5,4.53,2.73,-34.35805541785294
0.3,Very Good,E,VS2,62.6,58.0,4.25,4.28,2.67,440.14329752013737
0.85,Ideal,E,SI2,62.8,57.0,6.06,6.01,3.79,3321.923954955388
1.0,Very Good,E,SI1,60.9,59.0,6.38,6.43,3.9,5608.331048182628
0.41,Premium,G,VS2,62.6,59.0,4.73,4.76,2.97,916.6929996408257
1.5,Premium,G,VS2,60.3,60.0,7.34,7.26,4.4,10632.339477939611
0.72,Very Good,H,SI2,63.3,57.0,5.7,5.67,3.6,1315.2334183322919
0.33,Premium,G,VS1,62.0,59.0,4.42,4.36,2.72,686.3525668493044
0.39,Ideal,E,IF,61.5,55.5,4.68,4.72,2.88,2330.0103774083805
0.4,Ideal,E,VS2,61.4,57.0,4.78,4.75,2.92,1235.7412297582437
1.01,Good,F,SI1,63.5,59.0,6.29,6.38,4.02,5420.044508081338
1.02,Ideal,I,SI2,60.6,56.0,6.57,6.53,3.97,3618.571645843776
1.01,Ideal,D,SI1,63.0,56.0,6.36,6.41,4.02,5995.011794733161
0.7,Ideal,F,SI1,61.8,56.0,5.68,5.75,3.53,3010.839219763049
0.57,Very Good,F,VS2,59.5,57.0,5.39,5.43,3.22,2465.421053307543
1.5,Very Good,F,SI1,63.9,58.0,7.12,7.16,4.56,10234.41233226096
1.01,Premium,J,SI2,59.3,56.0,6.51,6.45,3.84,2674.9159479316054
0.51,Ideal,D,VS2,61.2,55.0,5.17,5.13,3.15,2341.805915319824
1.0,Premium,E,SI2,61.7,58.0,6.39,6.34,3.93,4645.890152518965
0.71,Premium,E,VVS1,62.5,57.0,5.67,5.62,3.53,4399.432156693172
0.52,Very Good,D,VVS2,59.8,55.0,5.28,5.35,3.18,3003.3298564484726
0.4,Good,I,IF,62.3,62.0,4.69,4.72,2.93,684.3050623620479
0.81,Premium,I,VVS2,62.9,59.0,5.95,5.84,3.71,3835.350440935536
0.53,Ideal,F,VVS2,61.3,55.0,5.23,5.27,3.22,2905.209358433294
2.02,Premium,I,SI2,59.4,59.0,8.25,8.21,4.89,13088.2926083008
2.11,Ideal,I,SI1,61.0,57.0,8.37,8.29,5.08,14957.618702697999
1.15,Ideal,D,VS2,58.5,57.0,6.96,6.93,4.06,7833.756627175439
0.7,Premium,I,VVS2,60.1,59.0,5.8,5.72,3.46,2939.0754842696174
1.07,Premium,F,SI1,61.7,56.0,6.66,6.5,4.06,6100.876943377578
0.56,Ideal,H,SI1,61.9,54.0,5.3,5.33,3.29,1171.597487750057
1.74,Ideal,G,VS2,62.9,57.0,7.68,7.64,4.82,12960.097893392061
0.31,Very Good,G,VVS2,62.2,56.0,4.31,4.34,2.69,973.5023798561738
0.5,Very Good,H,VVS2,62.9,56.0,5.03,5.08,3.18,1829.6763312801208
1.07,Ideal,D,VVS2,60.3,56.0,6.63,6.68,4.01,7859.224561591049
0.3,Premium,G,VS1,61.8,59.0,4.37,4.34,2.69,412.9167873922338
0.51,Ideal,E,SI1,62.1,55.0,5.09,5.15,3.18,1554.893199975238
0.91,Very Good,G,SI1,63.5,58.0,6.15,6.04,3.87,4405.598491906594
0.3,Very Good,H,SI1,61.3,58.0,4.29,4.33,2.64,-885.3209096635633
0.7,Ideal,F,VS2,61.0,55.0,5.74,5.79,3.52,3630.5151060448266
0.76,Ideal,D,VS1,61.7,56.0,5.84,5.87,3.61,4714.23358652852
1.15,Ideal,I,VS1,61.3,56.0,6.74,6.76,4.14,6734.21158991927
1.47,Premium,J,SI2,60.0,58.0,7.36,7.31,4.4,6883.463977798903
1.2,Ideal,G,SI1,61.8,59.0,6.77,6.8,4.19,7233.729420821481
1.07,Ideal,E,SI1,60.4,57.0,6.62,6.56,3.98,6346.96402741894
1.01,Ideal,F,SI1,62.0,54.0,6.41,6.49,4.0,5786.868952768562
0.28,Premium,G,VVS2,60.2,60.0,4.24,4.26,2.56,777.4778733551652
2.27,Premium,H,SI2,60.7,59.0,8.5,8.45,5.15,16057.973525296838
0.4,Premium,D,VS2,61.7,59.0,4.75,4.72,2.92,1327.5020107595224
0.39,Very Good,J,VS1,63.5,58.0,4.64,4.59,2.93,-874.8664610092378
1.14,Premium,H,SI2,60.6,59.0,6.8,6.77,4.11,5079.960190207523
0.53,Ideal,E,VVS1,61.9,55.0,5.2,5.21,3.22,3022.820166209163
0.4,Ideal,I,SI2,61.0,58.0,4.74,4.77,2.9,-1552.5448123244178
0.58,Premium,H,VS2,59.7,59.0,5.42,5.33,3.21,1822.0434812297112
0.7,Premium,D,SI1,61.2,58.0,5.74,5.7,3.5,3139.1135013061016
0.55,Ideal,H,IF,61.5,55.0,5.25,5.29,3.25,2785.938560177569
0.72,Very Good,I,VS2,63.3,57.0,5.66,5.72,3.6,2423.909161438061
0.3,Ideal,F,SI1,62.3,53.9,4.28,4.31,2.68,-24.981291856372536
1.02,Ideal,H,SI1,61.9,57.0,6.46,6.4,3.98,5079.2287695808855
0.51,Very Good,I,SI1,63.5,55.0,5.07,5.11,3.23,104.01763922565488
0.65,Premium,E,SI2,62.6,59.0,5.54,5.49,3.45,1494.6937069481355
1.07,Ideal,H,SI1,61.1,56.0,6.63,6.6,4.04,5546.208205021318
0.43,Ideal,G,VVS1,61.8,55.0,4.87,4.9,3.02,1966.9431354060403
0.32,Premium,I,IF,60.3,58.0,4.41,4.45,2.67,497.58247398093454
0.28,Very Good,F,VS2,62.7,58.0,4.14,4.15,2.6,253.993756833735
1.7,Very Good,G,VS2,62.6,57.0,7.6,7.67,4.78,12499.175450196057
0.51,Very Good,I,SI1,62.5,58.0,5.05,5.12,3.18,114.85905910561132
0.71,Ideal,D,VS2,60.4,57.0,5.77,5.82,3.5,3976.2640365046186
0.4,Premium,E,VS2,62.0,58.0,4.73,4.69,2.92,1147.7280378162864
0.9,Ideal,G,SI1,60.2,56.0,6.24,6.29,3.77,4584.605797316171
0.59,Good,F,VS1,60.5,61.0,5.43,5.5,3.31,2637.8760537630756
1.19,Premium,D,SI2,58.6,61.0,6.93,6.89,4.05,6568.145204552051
0.51,Premium,G,VS2,61.3,59.0,5.17,5.11,3.15,1675.1420908094665
0.5,Very Good,E,VS2,61.8,57.0,5.05,5.11,3.14,1942.9035942845671
1.01,Fair,H,SI2,64.9,56.0,6.33,6.25,4.08,3148.1471632968846
0.63,Premium,E,VS1,60.4,58.0,5.59,5.64,3.39,3263.355503596738
0.72,Ideal,D,SI2,62.7,55.0,5.7,5.72,3.58,2493.2526047774354
0.3,Ideal,F,VS2,60.7,57.0,4.34,4.29,2.62,543.6563255805827
0.3,Ideal,E,VVS2,61.6,56.0,4.32,4.35,2.67,1280.1125378900765
0.29,Very Good,D,VVS2,59.1,61.0,4.33,4.37,2.57,1289.873412626344
1.0,Very Good,E,SI2,63.2,56.0,6.33,6.36,4.01,4619.083158249572
1.17,Ideal,G,VS1,61.7,57.0,6.71,6.75,4.15,7926.552539656479
1.56,Very Good,H,VVS2,63.3,58.0,7.3,7.35,4.64,11349.86520194892
0.56,Ideal,E,SI1,62.7,57.0,5.27,5.23,3.29,1841.0664876284868
0.41,Very Good,I,SI2,63.5,57.0,4.72,4.7,2.99,-1672.8795367898674
1.53,Very Good,I,VS1,62.8,55.0,7.35,7.4,4.63,10198.987426522455
0.52,Very Good,J,SI1,62.5,59.0,5.14,5.16,3.22,-798.9363817224453
0.4,Ideal,J,SI1,61.4,55.0,4.75,4.8,2.93,-1458.4582816840916
1.0,Premium,F,VS2,59.0,59.0,6.54,6.51,3.85,6143.600338001481
0.36,Ideal,F,VS1,61.5,55.0,4.57,4.61,2.82,1286.7399417763777
0.41,Ideal,E,VS2,61.8,57.0,4.76,4.78,2.95,1341.8286215837948
0.9,Premium,H,SI1,61.4,60.0,6.13,6.08,3.75,3951.3272811602437
1.59,Premium,G,SI1,62.3,60.0,7.49,7.42,4.64,10752.938715307408
1.03,Premium,G,VS1,62.2,59.0,6.41,6.46,4.0,6499.503303185953
0.38,Premium,G,VS1,61.9,56.0,4.68,4.63,2.88,1063.2116728967799
0.74,Ideal,E,SI2,59.2,59.0,5.92,5.97,3.52,2417.4860065619487
1.5,Very Good,G,SI1,63.1,59.0,7.22,7.27,4.57,9950.029118522154
1.01,Good,E,SI1,59.3,64.0,6.47,6.49,3.84,5458.457531450625
1.71,Premium,H,VS2,62.5,58.0,7.64,7.52,4.74,12100.69272229008
0.9,Very Good,G,VS2,61.3,59.0,6.15,6.21,3.79,5017.021573511343
1.09,Ideal,G,SI2,61.2,57.0,6.63,6.68,4.07,5267.333823064917
0.78,Very Good,E,VS1,60.0,56.0,6.0,6.03,3.61,4569.665223127723
0.32,Ideal,D,VS2,61.5,56.0,4.41,4.44,2.72,942.5540242953844
0.3,Ideal,F,IF,62.0,56.0,4.31,4.33,2.68,1584.4979752726263
1.01,Premium,G,SI1,58.8,58.0,6.59,6.51,3.85,5432.655635226769
0.32,Ideal,D,VVS2,61.7,55.0,4.39,4.42,2.72,1657.8722254095114
1.05,Premium,H,VS2,62.7,59.0,6.49,6.43,4.05,5809.609347352603
0.9,Ideal,H,SI1,61.1,58.0,6.24,6.19,3.79,3982.7183080273335
0.54,Ideal,G,VVS1,62.2,56.0,5.2,5.22,3.24,2812.3521726120985
1.5,Ideal,E,SI1,62.6,56.0,7.27,7.3,4.56,10398.703891491072
1.01,Good,D,SI1,62.9,57.0,6.34,6.37,4.0,5734.799161715384
1.76,Ideal,F,SI2,62.6,55.0,7.69,7.64,4.8,11891.190352889455
1.01,Fair,F,VS2,65.2,52.0,6.31,6.29,4.11,5514.996451152409
1.03,Ideal,H,SI2,60.5,57.0,6.58,6.52,3.96,4199.82641469422
0.3,Ideal,E,VVS1,60.1,57.0,4.38,4.41,2.64,1350.2880875681963
2.03,Ideal,G,SI2,62.5,56.0,8.1,8.05,5.05,14283.923896306245
0.54,Premium,I,VVS1,60.8,61.0,5.28,5.22,3.19,1633.7831426734633
